id,title,url,slug,status_badge,tagline,address,email,phone,description,excerpt,og_description,image,external_links,contact_links,category_ids,category_names,tag_ids,date,modified,scrape_error
8079,Graze Me Away,https://ummahdirectory.com.au/event-planning/graze-me-away/,graze-me-away,Ummah Partner,Boutique catering specialist for events with grazing boxes and more,Coolaroo VIC 3048,grazemeaway@gmail.com,0450 615 360,"Graze Me Away is a boutique catering business specialising in gourmet grazing boxes, platters, and styled grazing tables for all occasions. From intimate gatherings to large events, we craft visually stunning and delicious spreads using fresh, high-quality ingredients. Based in Coolaroo, Victoria, we pride ourselves on personalised service, unique presentation, and creating memorable experiences through food.
Products/Services:
Grazing Boxes
Perfect for gifts, picnics, or small gatherings. Available in various sizes and can be customised to include:
• Sweet, savoury, or mixed selections
• Breakfast or brunch options
• Seasonal fruits, cheeses, crackers, dips, deli meats, sweets, and more
• Dietary options available (GF, vegan, 100% halal)
Grazing Platters & Catering
Ideal for entertaining at home, parties, or work functions. Available in small to extra-large sizes with a wide range of inclusions:
• Cheese & charcuterie
• Fruit & dessert platters
• Brunch platters
• Kids platters
• Mini sliders, wraps, focaccias, and more
Styled Grazing Tables
For larger events like weddings, engagements, corporate events, baby showers, and birthdays. Each table is uniquely styled with:
• Rustic or modern setups
• Custom florals and props
• Variety of finger foods, fresh produce, pastries, sliders, and more
• Includes setup, styling, hire of stands and tableware.
Coolaroo VIC 3048
grazemeaway@gmail.com
0450 615 360",Coolaroo VIC 3048 Boutique catering specialist for events with grazing boxes,Coolaroo VIC 3048 Boutique catering specialist for events with grazing boxes,https://ummahdirectory.com.au/wp-content/uploads/2025/08/6877a7256b35d.jpeg,"[{""label"": ""Instagram"", ""url"": ""http://www.instagram.com/grazemeaway""}, {""label"": """", ""url"": ""https://www.facebook.com/UmmahDirectory""}, {""label"": """", ""url"": ""https://www.instagram.com/UmmahDirectory""}, {""label"": """", ""url"": ""http://www.youtube.com/ummahdirectory""}, {""label"": """", ""url"": ""https://www.tiktok.com/@ummah.directory""}, {""label"": """", ""url"": ""https://www.linkedin.com/company/ummah-directory/""}, {""label"": """", ""url"": ""https://x.com/ummah_directory""}]","[{""label"": ""Instagram"", ""url"": ""http://www.instagram.com/grazemeaway""}]","[1971, 1395, 1873]","[""Catering"", ""Event Planning"", ""Victoria""]","[1437, 1491, 1396, 1383, 1430, 1970, 1368]",2025-08-11T13:45:04,2025-08-11T13:45:06,
8072,MCSA Islamic Centre,https://ummahdirectory.com.au/mosque-musalla/mcsa-islamic-centre/,mcsa-islamic-centre,,"August 11, 2025","August 11, 2025",,,"Elizabeth South SA 5112
Mosque in Elizabeth South and home to Muslim Community SA
Masjid Al-Tawheed and Muslim Community South Australia (MCSA) Islamic Centre offers daily, weekly, and monthly classes, youth clubs, revert support, dawah training, Qur’an and Ibadah workshops, and social gatherings to unite and support Muslims of all ages.
Products/Services: Tarbiyah Academy Program
Focus: High-quality Islamic education for children and youth aged 4-16
Curriculum includes:
Qur’an memorization (Hifz)
Hadith memorization with understanding
Islamic manners (Akhlaq) and Seerah of the Prophet (PBUH)
Quranic Arabic using Qadiah IQRA method
Arabic language skills: reading, writing, speaking, listening
Schedule: Weekend classes (usually weekends or specified days)
Additional activities: Sports Day, Qur’an and Hadith competitions, and other educational events
share this article:
Twitter
Menu
Suggest a Listing
Contact us
Get Listed
Subscribe for Offers, News and More
Full Name*
Email*
Post Code
Subscribe
Terms & Policies
ABN 88 675 131 932",Elizabeth South SA 5112 Mosque in Elizabeth South and home to Muslim Community SA,Elizabeth South SA 5112  Mosque in Elizabeth South and home to Muslim Community SA,https://ummahdirectory.com.au/wp-content/uploads/2025/08/385495682_613328251011509_8033028560828746250_n.jpg,"[{""label"": """", ""url"": ""https://www.facebook.com/UmmahDirectory""}, {""label"": """", ""url"": ""https://www.instagram.com/UmmahDirectory""}, {""label"": """", ""url"": ""http://www.youtube.com/ummahdirectory""}, {""label"": """", ""url"": ""https://www.tiktok.com/@ummah.directory""}, {""label"": """", ""url"": ""https://www.linkedin.com/company/ummah-directory/""}, {""label"": """", ""url"": ""https://x.com/ummah_directory""}]",[],"[1514, 1878]","[""Mosques"", ""South Australia""]","[1709, 778362536, 1515, 1723]",2025-08-11T12:13:16,2025-08-11T12:13:19,
8048,Eva Idham Architecture,https://ummahdirectory.com.au/professional-services/eva-idham-architecture/,eva-idham-architecture,,"August 5, 2025","August 5, 2025",,,"Malvern VIC 3144
Architect and Interior Design with 17 years experience
Eva has over 17 years of local Australian architecture experience and is an Architect skilled in a diverse range of projects including single residences, multi-residential developments, educational facilities and museums. She excels at leading multi-disciplinary teams and managing complex projects from conception to completion, consistently delivering exceptional outcomes for Clients.
Her approach to design and client relationships is rooted in collaboration, community engagement, and a deep respect for culture and materials.
share this article:
Twitter
Menu
Suggest a Listing
Contact us
Get Listed
Subscribe for Offers, News and More
Full Name*
Email*
Post Code
Subscribe
Terms & Policies
ABN 88 675 131 932",Malvern VIC 3144 Architect and Interior Design with 17 years experience,Malvern VIC 3144 Architect and Interior Design with 17 years experience,,"[{""label"": """", ""url"": ""https://www.facebook.com/UmmahDirectory""}, {""label"": """", ""url"": ""https://www.instagram.com/UmmahDirectory""}, {""label"": """", ""url"": ""http://www.youtube.com/ummahdirectory""}, {""label"": """", ""url"": ""https://www.tiktok.com/@ummah.directory""}, {""label"": """", ""url"": ""https://www.linkedin.com/company/ummah-directory/""}, {""label"": """", ""url"": ""https://x.com/ummah_directory""}]",[],"[1630, 1873]","[""Professional Services"", ""Victoria""]","[778362535, 1836, 1957, 1368]",2025-08-05T00:26:10,2025-08-11T12:15:53,
8008,Nasihah Legal,https://ummahdirectory.com.au/professional-services/nasihah-legal/,nasihah-legal,Ummah Partner,Nasihah Lawyers is a boutique law firm operating in the centre of Coburg,"1/288 Sydney Road, Coburg VIC 3058",mohammed@nasihahlegal.com.au,0426 988 250,"At Nasihah Legal, we are driven by the core principles of integrity, sincerity, and compassion. ‘Nasihah’ is more than just a name—it’s our guiding philosophy.
📞 Book your free consultation – 0426 988 250
Products/Services: Our team offer a wide range of legal services including:
– Family Law (parenting & property)
– Criminal Law
– Property Law & Conveyancing
– Wills & Estate (Islamic wills also)
– Civil Law
– VCAT matters
1/288 Sydney Road, Coburg VIC 3058
E-Mail
0426 988 250",Coburg VIC 3058 Legal practitioner in the heart of Coburg,Coburg VIC 3058 Legal practitioner in the heart of Coburg,https://ummahdirectory.com.au/wp-content/uploads/2025/07/nasi1.jpeg,"[{""label"": ""Website"", ""url"": ""http://www.nasihahlegal.com.au""}, {""label"": ""Instagram"", ""url"": ""http://www.instagram.com/nasihahlegal/""}, {""label"": """", ""url"": ""https://www.facebook.com/UmmahDirectory""}, {""label"": """", ""url"": ""https://www.instagram.com/UmmahDirectory""}, {""label"": """", ""url"": ""http://www.youtube.com/ummahdirectory""}, {""label"": """", ""url"": ""https://www.tiktok.com/@ummah.directory""}, {""label"": """", ""url"": ""https://www.linkedin.com/company/ummah-directory/""}, {""label"": """", ""url"": ""https://x.com/ummah_directory""}]","[{""label"": ""Instagram"", ""url"": ""http://www.instagram.com/nasihahlegal/""}]","[1415, 1630, 1873]","[""Lawyers"", ""Professional Services"", ""Victoria""]","[1400, 1414, 1368]",2025-07-18T14:52:20,2025-07-18T14:52:23,
8004,Malek Fahd Islamic School – Beaumont Hills,https://ummahdirectory.com.au/education/malek-fahd-islamic-school-beaumont-hills/,malek-fahd-islamic-school-beaumont-hills,,"July 18, 2025","July 18, 2025",,,"Beaumont Hills NSW 2155
Australia’s oldest Islamic school with new campus in Hills District
Islamic Co-ed Primary & Secondary School in Beaumont Hills
Malek Fahd Islamic School is Australia’s oldest Islamic school, founded in 1989 through a gift from King Fahd of Saudi Arabia. This same spirit of charity is one we hope to pay forward to future generations as we remain committed to promoting religious tolerance, cultural diversity, and academic excellence within the broader Australian society.
share this article:
Twitter
Menu
Suggest a Listing
Contact us
Get Listed
Subscribe for Offers, News and More
Full Name*
Email*
Post Code
Subscribe
Terms & Policies
ABN 88 675 131 932",Beaumont Hills NSW 2155 Australia’s oldest Islamic school with new campus in Hills District,Beaumont Hills NSW 2155 Australia's oldest Islamic school with new campus in Hills District,https://ummahdirectory.com.au/wp-content/uploads/2025/07/malek1.png,"[{""label"": """", ""url"": ""https://www.facebook.com/UmmahDirectory""}, {""label"": """", ""url"": ""https://www.instagram.com/UmmahDirectory""}, {""label"": """", ""url"": ""http://www.youtube.com/ummahdirectory""}, {""label"": """", ""url"": ""https://www.tiktok.com/@ummah.directory""}, {""label"": """", ""url"": ""https://www.linkedin.com/company/ummah-directory/""}, {""label"": """", ""url"": ""https://x.com/ummah_directory""}]",[],"[1492, 1576, 1876]","[""Education"", ""General & Islamic Schools"", ""New South Wales""]","[778362534, 1651, 1483]",2025-07-18T09:53:01,2025-07-18T09:53:04,
7999,Malek Fahd Islamic School – Hoxton Park,https://ummahdirectory.com.au/education/malek-fahd-islamic-school-hoxton-park/,malek-fahd-islamic-school-hoxton-park,,"July 18, 2025","July 18, 2025",,,"Hoxton Park NSW 2171
Australia’s oldest Islamic school with new Hoxton Park campus
Islamic Co-ed Primary & Secondary School in Hoxton Park
Malek Fahd Islamic School is Australia’s oldest Islamic school, founded in 1989 through a gift from King Fahd of Saudi Arabia. This same spirit of charity is one we hope to pay forward to future generations as we remain committed to promoting religious tolerance, cultural diversity, and academic excellence within the broader Australian society.
share this article:
Twitter
Menu
Suggest a Listing
Contact us
Get Listed
Subscribe for Offers, News and More
Full Name*
Email*
Post Code
Subscribe
Terms & Policies
ABN 88 675 131 932",Hoxton Park NSW 2171 Australia’s oldest Islamic school with new Hoxton Park campus,Hoxton Park NSW 2171 Australia's oldest Islamic school with new Hoxton Park campus,https://ummahdirectory.com.au/wp-content/uploads/2025/07/malek1.png,"[{""label"": """", ""url"": ""https://www.facebook.com/UmmahDirectory""}, {""label"": """", ""url"": ""https://www.instagram.com/UmmahDirectory""}, {""label"": """", ""url"": ""http://www.youtube.com/ummahdirectory""}, {""label"": """", ""url"": ""https://www.tiktok.com/@ummah.directory""}, {""label"": """", ""url"": ""https://www.linkedin.com/company/ummah-directory/""}, {""label"": """", ""url"": ""https://x.com/ummah_directory""}]",[],"[1492, 1576, 1876]","[""Education"", ""General & Islamic Schools"", ""New South Wales""]","[778362533, 1651, 1483]",2025-07-18T09:44:24,2025-07-18T09:44:27,
7994,Malek Fahd Islamic School – Greenacre,https://ummahdirectory.com.au/education/malek-fahd-islamic-school-greenacre/,malek-fahd-islamic-school-greenacre,,"July 18, 2025","July 18, 2025",,,"Greenacre NSW 2190
Australia’s oldest Islamic school includes separate primary and secondary campuses
Islamic Co-ed Primary & Secondary School in Greenacre
Malek Fahd Islamic School is Australia’s oldest Islamic school, founded in 1989 through a gift from King Fahd of Saudi Arabia. This same spirit of charity is one we hope to pay forward to future generations as we remain committed to promoting religious tolerance, cultural diversity, and academic excellence within the broader Australian society.
share this article:
Twitter
Menu
Suggest a Listing
Contact us
Get Listed
Subscribe for Offers, News and More
Full Name*
Email*
Post Code
Subscribe
Terms & Policies
ABN 88 675 131 932",Greenacre NSW 2190 Australia’s oldest Islamic school includes separate primary and secondary campuses,Greenacre NSW 2190 Australia's oldest Islamic school includes separate primary and secondary campuses,https://ummahdirectory.com.au/wp-content/uploads/2025/07/malek1.png,"[{""label"": """", ""url"": ""https://www.facebook.com/UmmahDirectory""}, {""label"": """", ""url"": ""https://www.instagram.com/UmmahDirectory""}, {""label"": """", ""url"": ""http://www.youtube.com/ummahdirectory""}, {""label"": """", ""url"": ""https://www.tiktok.com/@ummah.directory""}, {""label"": """", ""url"": ""https://www.linkedin.com/company/ummah-directory/""}, {""label"": """", ""url"": ""https://x.com/ummah_directory""}]",[],"[1492, 1576, 1876]","[""Education"", ""General & Islamic Schools"", ""New South Wales""]","[1814, 1651, 1515, 1483]",2025-07-18T09:37:58,2025-07-18T09:38:01,
7961,Shariah Collections,https://ummahdirectory.com.au/clothing/shariah-collections/,shariah-collections,Ummah Partner,"Online hijab, abaya and modest clothing",Broadmeadows VIC 3047,Shariahcollections@gmail.com,0422 729 032,"At Shariah Collections, we are passionate about redefining modest fashion for Muslim women. Our journey began with a vision: to create clothing that reflects both elegance and practicality while staying true to the principles of modesty.
We understand the importance of comfort and functionality in everyday wear, which is why our designs feature lightweight, breathable, and wrinkle-free fabrics. Beyond comfort, we saw the need for a truly fuss-free khimar, one that is tie-back free and offers complete coverage without exposing any part of the hair or face. This commitment to solving real challenges in modest fashion inspired us to create designs that blend simplicity with sophistication.
Each piece in our collection is crafted with care, using only the finest fabrics and the utmost attention to detail. Our khimars and abayas are thoughtfully designed to prioritise modesty and comfort while delivering premium quality you can feel in every stitch
Broadmeadows VIC 3047
E-Mail
0422 729 032","Broadmeadows VIC 3047 Online hijab, abaya and modest clothing","Broadmeadows VIC 3047  Online hijab, abaya and modest clothing",https://ummahdirectory.com.au/wp-content/uploads/2025/07/image3-rotated.jpeg,"[{""label"": ""Website"", ""url"": ""http://www.shariahcollections.com""}, {""label"": ""Instagram"", ""url"": ""https://www.instagram.com/shariahcollections""}, {""label"": """", ""url"": ""https://www.facebook.com/UmmahDirectory""}, {""label"": """", ""url"": ""https://www.instagram.com/UmmahDirectory""}, {""label"": """", ""url"": ""http://www.youtube.com/ummahdirectory""}, {""label"": """", ""url"": ""https://www.tiktok.com/@ummah.directory""}, {""label"": """", ""url"": ""https://www.linkedin.com/company/ummah-directory/""}, {""label"": """", ""url"": ""https://x.com/ummah_directory""}]","[{""label"": ""Instagram"", ""url"": ""https://www.instagram.com/shariahcollections""}]","[1413, 1873]","[""Clothing"", ""Victoria""]","[1811, 1480, 1412, 1812]",2025-07-14T09:59:14,2025-07-20T22:40:02,
7834,Zikkies Thrift Store,https://ummahdirectory.com.au/clothing/zikkies-thrift-store/,zikkies-thrift-store,,Thrift store located in the heart of Coburg,"428 Sydney Rd, Coburg VIC 3058",melbourne@zikkies.org.au,(03) 7013 0521,"Zikkies Thrift Store is more than just a secondhand shop—it’s a community hub where sustainable shopping meets social impact. We offer quality pre-loved clothing, homewares, and unique finds, with support from the National Zakat Foundation to uplift the Muslim community. Every purchase and donation contributes to a greater purpose, making secondhand shopping a choice that benefits both the community and the environment. Visit us in-store and be part of something meaningful!
Products:
– Clothing for men, women, and children
– Islamic wear for men, women, and children (including hijabs)
– Shoes and accessories
– Homewares and decor (including Islamic art and prayer mats)
– Books and educational resources, including Islamic books
– Toys and games
– Small furniture pieces
Services:
– Community-driven thrift shopping experience
– Donation drop-off point for preloved goods
– Affordable, sustainable fashion and homeware options
– Volunteering opportunities
– Community building initiatives
428 Sydney Rd, Coburg VIC 3058
melbourne@zikkies.org.au
(03) 7013 0521",Coburg VIC 3058 Thrift store run by National Zakat Foundation in Coburg,Coburg VIC 3058 Thrift store run by National Zakat Foundation in Coburg,https://ummahdirectory.com.au/wp-content/uploads/2025/04/9.jpeg,"[{""label"": ""Website"", ""url"": ""http://www.zikkies.org.au""}, {""label"": """", ""url"": ""https://i0.wp.com/ummahdirectory.com.au/wp-content/uploads/2025/04/1.jpg?fit=2048%2C2048&ssl=1""}, {""label"": """", ""url"": ""https://i0.wp.com/ummahdirectory.com.au/wp-content/uploads/2025/04/2.jpg?fit=1600%2C1600&ssl=1""}, {""label"": """", ""url"": ""https://i0.wp.com/ummahdirectory.com.au/wp-content/uploads/2025/04/3.jpg?fit=1600%2C1600&ssl=1""}, {""label"": """", ""url"": ""https://i0.wp.com/ummahdirectory.com.au/wp-content/uploads/2025/04/4.jpg?fit=2048%2C2048&ssl=1""}, {""label"": """", ""url"": ""https://i0.wp.com/ummahdirectory.com.au/wp-content/uploads/2025/04/5.jpeg?fit=2048%2C2048&ssl=1""}, {""label"": """", ""url"": ""https://i0.wp.com/ummahdirectory.com.au/wp-content/uploads/2025/04/7.jpeg?fit=1600%2C1600&ssl=1""}, {""label"": """", ""url"": ""https://i0.wp.com/ummahdirectory.com.au/wp-content/uploads/2025/04/8.jpeg?fit=1600%2C1066&ssl=1""}, {""label"": """", ""url"": ""https://i0.wp.com/ummahdirectory.com.au/wp-content/uploads/2025/04/9-1.jpeg?fit=567%2C423&ssl=1""}, {""label"": ""Facebook"", ""url"": ""http://www.facebook.com/zikkiesaus/""}, {""label"": ""Instagram"", ""url"": ""http://www.instagram.com/zikkies.thriftstore/""}, {""label"": """", ""url"": ""https://www.facebook.com/UmmahDirectory""}, {""label"": """", ""url"": ""https://www.instagram.com/UmmahDirectory""}, {""label"": """", ""url"": ""http://www.youtube.com/ummahdirectory""}, {""label"": """", ""url"": ""https://www.tiktok.com/@ummah.directory""}, {""label"": """", ""url"": ""https://www.linkedin.com/company/ummah-directory/""}, {""label"": """", ""url"": ""https://x.com/ummah_directory""}]","[{""label"": ""Facebook"", ""url"": ""http://www.facebook.com/zikkiesaus/""}, {""label"": ""Instagram"", ""url"": ""http://www.instagram.com/zikkies.thriftstore/""}]","[1413, 1873]","[""Clothing"", ""Victoria""]","[1412, 1400, 1812, 1368]",2025-04-22T12:54:41,2025-05-22T14:41:58,
7480,Belco Halal Kebabs & Pizzeria,https://ummahdirectory.com.au/food-and-beverage/belco-halal-kebabs-pizzeria/,belco-halal-kebabs-pizzeria,,Middle Eastern and pizza house located in Belconnen,"Lathlain Street Shop 328A, Westfield, Belconnen ACT 2617",,(02) 6253 2928,"Nestled in the heart of Westfield Belconnen, lies a vibrant Middle Eastern restaurant that features kebabs, burgers, and pizzas. Whether you prefer to dine in, grab a takeaway, or enjoy the convenience of delivery, this restaurant caters to all your dining needs.
Lathlain Street Shop 328A, Westfield, Belconnen ACT 2617
(02) 6253 2928",Belconnen ACT 2617 Middle Eastern and pizza house located in Belconnen,Belconnen ACT 2617 Middle Eastern and pizza house located in Belconnen,,"[{""label"": ""Website"", ""url"": ""https://order.kebabsinbelco.com.au/""}, {""label"": ""Facebook"", ""url"": ""https://www.facebook.com/belcohalalkebabs/""}, {""label"": """", ""url"": ""https://www.facebook.com/UmmahDirectory""}, {""label"": """", ""url"": ""https://www.instagram.com/UmmahDirectory""}, {""label"": """", ""url"": ""http://www.youtube.com/ummahdirectory""}, {""label"": """", ""url"": ""https://www.tiktok.com/@ummah.directory""}, {""label"": """", ""url"": ""https://www.linkedin.com/company/ummah-directory/""}, {""label"": """", ""url"": ""https://x.com/ummah_directory""}]","[{""label"": ""Facebook"", ""url"": ""https://www.facebook.com/belcohalalkebabs/""}]","[2077, 1371, 1586]","[""Australian Canberra Territory"", ""Food and Beverage"", ""Restaurants & Takeaway""]","[2072, 2071, 1444, 1516, 1425, 2070, 1424, 1923]",2024-07-18T22:04:37,2024-07-18T22:04:39,
