category_id,category_name,category_slug,listing_id,listing_title,listing_url,tagline,address,email,phone,description,category_names
97,All,uncategorised,7421,Our Picks for Restaurants in Melbourne (June 2024),https://ummahdirectory.com.au/uncategorised/our-picks-for-restaurants-in-melbourne-june-2024/,"June 27, 2024","June 27, 2024",,,"CENTRAL |
Ziyka Restaurant – Carlton
Lively, informal eatery offering traditional Pakistani & Indian halal cuisine in low-key surrounds in the busy Lygon St strip.  Chicken Achari is family favourite.
234-236 Lygon St, Carlton VIC 3053
WEST |
Lux Afghan Kebab
Afghan cuisine for the first time in Werribee. All kebabs are prepared fresh daily and cooked on authentic charcoal. Special Lux Cutlet Steak is a must.
Shop 3/49 Cherry St, Werribee VIC 3030
EAST |
Spice Bazaar Uyghur Restaurant
Authentic Uyghur cuisine in the heart of Balwyn North with freshly-made skewers, hand pulled noodles and more.
68 Doncaster Rd, Balwyn North VIC 3104
share this article:
Twitter
Menu
Suggest a Listing
Contact us
Get Listed
Subscribe for Offers, News and More
Full Name*
Email*
Post Code
Subscribe
Terms & Policies
ABN 88 675 131 932","[""All""]"
2080,Australian Capital Territory,australian-capital-territory,7491,Turquoise Turkish Restaurant,https://ummahdirectory.com.au/food-and-beverage/turquoise-turkish-restaurant/,"July 15, 2024","July 15, 2024",,,"Queanbeyan NSW 2620
Authentic Turkish cuisine in the heart of Queanbeyan
Located in Queanbeyan, lies a vibrant Turkish restaurant that is perfect for dinner, takeaway, catering and prefect location for a special event.
share this article:
Twitter
Menu
Suggest a Listing
Contact us
Get Listed
Subscribe for Offers, News and More
Full Name*
Email*
Post Code
Subscribe
Terms & Policies
ABN 88 675 131 932","[""Australian Capital Territory"", ""Food and Beverage"", ""Restaurants & Takeaway""]"
2080,Australian Capital Territory,australian-capital-territory,7207,Lahori Gate Restaurant ,https://ummahdirectory.com.au/food-and-beverage/lahori-gate-restaurant/,,"4/1 Weetangera Place, Weetangera ACT 2614",lahorigatewt@gmail.com,(02) 6128 0760,,"[""Australian Capital Territory"", ""Food and Beverage"", ""Restaurants & Takeaway""]"
2080,Australian Capital Territory,australian-capital-territory,7194,Linda’s Baklawa,https://ummahdirectory.com.au/food-and-beverage/lindas-baklawa/,Made to order traditional Lebanese baklawa baked by a local home kitchen in Canberra,Isabella Plains ACT 2905,lindasbaklawa@hotmail.com,lindasbaklawa@hotmail.com,"Made to order traditional Lebanese baklawa baked by a local home kitchen located in Isabella Plains in Canberra. Acknowledged by ABC Canberra in 2020, Linda Sharif Berjaoui often sets up stalls during religious festivals.
Isabella Plains ACT 2905
lindasbaklawa@hotmail.com","[""Australian Capital Territory"", ""Cakes & Sweets"", ""Food and Beverage"", ""Restaurants & Takeaway""]"
2080,Australian Capital Territory,australian-capital-territory,7014,Turkish Halal Pide House,https://ummahdirectory.com.au/food-and-beverage/turkish-halal-pide-house/,Turkish takeaway cuisine located in the centre of Canberra in Yarralumla with a variety of vegetarian options available,"Shop1/47 Novar Street, Yarralumla ACT 2600",,(02) 6281 1991,"Turkish takeaway cuisine located in the centre of Canberra in Yarralumla with a variety of vegetarian options available. Option to provide catering also available.
Shop1/47 Novar Street, Yarralumla ACT 2600
(02) 6281 1991","[""Australian Capital Territory"", ""Food and Beverage"", ""Restaurants & Takeaway""]"
2080,Australian Capital Territory,australian-capital-territory,7041,Queanbeyan Halal Butchery,https://ummahdirectory.com.au/food-and-beverage/queanbeyan-halal-butchery/,Fresh hand-slaughtered halal meat and chicken butcher and spice store,"10 Uriarra Road, Queanbeyan NSW 2620",,0493 627 585,"Fresh hand-slaughtered halal meat and chicken butcher and spice store located in the town of Queanbeyan.
10 Uriarra Road, Queanbeyan NSW 2620
0493 627 585","[""Australian Capital Territory"", ""Food and Beverage"", ""Halal Butchers""]"
1513,Auto,auto,6980,Pit Crew Auto Care,https://ummahdirectory.com.au/auto/pit-crew-auto-care/,Specialising in all mechanical needs located in the heart of Coburg North,"30 Mercier St, Coburg North VIC 3058",pitcrewautocare30@gmail.com,(03) 9191 3995,"Specialising in all your mechanical needs located in the heart of Coburg North.
Honest, reliable, professional, friendly.
Products/Services:
– Minor and major service and repairs
– Aircon regas and service
– Logbook service
– Suspension
– Tyres
– Advanced computer diagnostics
30 Mercier St, Coburg North VIC 3058
pitcrewautocare30@gmail.com
(03) 9191 3995","[""Auto"", ""Mechanics""]"
1513,Auto,auto,5053,Fawkner Clutch & Brake,https://ummahdirectory.com.au/auto/fawkner-clutch-brake/,Auto mechanic and car repairs in Fawkner,"149 Lynch Rd, Fawkner VIC 3060",,(03) 9359 0617,"Car repairs located on Lynch Rd in Fawkner
149 Lynch Rd, Fawkner VIC 3060
(03) 9359 0617","[""Auto"", ""Mechanics""]"
1513,Auto,auto,5048,Fawkner Wheels & Tyres,https://ummahdirectory.com.au/auto/fawkner-wheels-tyres/,"Specialising in tyres, wheels and suspension in Fawkner since 1992","1112 Sydney Rd, Fawkner VIC 3060",fawknertyres@hotmail.com,(03) 9357 3411,"Wheels, Tyres & Suspension. We ship AUS wide! Established in 1992.
1112 Sydney Rd, Fawkner VIC 3060
fawknertyres@hotmail.com
(03) 9357 3411","[""Auto"", ""Wheels & Tyres""]"
1513,Auto,auto,3891,Overland 4 x 4 Parts & Services,https://ummahdirectory.com.au/auto/overland-4-x-4-parts-services/,All kinds of automotive parts at Thomastown location,"17 Cliveden Ct, Thomastown VIC 3074",overland4x4parts@hotmail.com,(03) 9357 3133,"The team at Overland 4×4 offer a vast range of light commercial and four wheel drive parts along side with 25 years of mechanical experience Not only do we supply high quality second hand parts but also a variety of new four wheel drive accessories Here at Overland 4×4 we offer fitting for any parts alongside any engine change overs, transmissions, diffs etc.
For any inquiries feel free to contact any of our staff at (03) 93573133
17 Cliveden Ct, Thomastown VIC 3074
overland4x4parts@hotmail.com
(03) 9357 3133","[""Auto"", ""Parts"", ""Victoria""]"
1513,Auto,auto,3299,Naz’s Towing,https://ummahdirectory.com.au/auto/nazs-towing/,Towing operator,Glenroy VIC 3046,nazstowing@gmail.com,0405 197 368,"Towing service located in Glenroy. 24 Hour Service – All Suburbs
Glenroy VIC 3046
nazstowing@gmail.com
0405 197 368","[""Auto"", ""Towing""]"
1569,Beauty,beauticians,7253,St Botanical,https://ummahdirectory.com.au/beauticians/st-botanical/,"We created the STB brand to offer families beautiful, effective personal care products free from harmful ingredients.",Greenvale VIC 3059,info@stbotanical.com,,"Products/Services: A range of products for YOU, YOUR BODY & YOUR BABY that combine natural, naturally derived & organic ingredients to create truly distinctive products that is good for you, the planet and your home
Greenvale VIC 3059
info@stbotanical.com","[""Beauty"", ""Skincare"", ""Teeth Whitening"", ""Victoria""]"
1569,Beauty,beauticians,7168,Organic Instinct,https://ummahdirectory.com.au/victoria/organic-instinct/,Health and wellness store in Coolaroo run by qualified nutritionist,"36 Zakwell Ct, Coolaroo VIC 3048",info@organicinstinct.net.au,(03) 7302 1627,"At Organic Instinct, our aim is to ensure that we provide alternatives to all your basic health needs, without the chemical overload.
Our Organic Instinct journey began when we became parents for the first time. There was an overwhelming sense of responsibility to give our little person the best start in life. We began looking more closely at the products we had in our own home and the source of the foods we ate. One product and one food at a time, we changed or substituted them over to the low tox and organically grown varieties. We educated ourselves about ingredient lists, chemical lists, food additives, the benefits of supplements, aromatherapy and general health and wellness.
Shop for
more online
36 Zakwell Ct, Coolaroo VIC 3048
info@organicinstinct.net.au
(03) 7302 1627","[""Beauty"", ""Nutrition"", ""Victoria""]"
1569,Beauty,beauticians,7159,Sairah Jewellery,https://ummahdirectory.com.au/victoria/sairah-jewellery/,"Small business specialising in jewellery, necklaces, rings, bracelets and earrings",Tarneit VIC 3029,,0423 176 946,"I run a business that specializes in selling a variety of exquisite jewelry, including necklaces, rings, bracelets, and earrings.
Products/Services:
1) Necklaces:
Classic Necklaces: Timeless pieces that add a touch of elegance to any outfit. Perfect for both everyday wear and special occasions.
Statement Necklaces: Bold and beautiful designs that make a striking impression, ideal for adding flair to your wardrobe.
Pendant Necklaces: Featuring a variety of pendants, from simple and chic to intricate and detailed, these necklaces are perfect for personalization.
2) Rings:
Fashion Rings: Trendy and stylish rings that add a pop of personality and style to any look.
3) Bracelets:
Bangle Bracelets: Sleek and stylish bangles that can be worn alone or stacked for a more dramatic effect.
Charm Bracelets: Personalize your bracelet with a variety of charms that represent your unique style and story.
Cuff Bracelets: Bold and eye-catching designs that make a statement and add a touch of elegance to any outfit.
4) Earrings:
Stud Earrings: Simple and elegant studs that are perfect for everyday wear.
Hoop Earrings: Classic and versatile hoops available in various sizes and styles.
Dangle Earrings: Beautiful and intricate designs that add movement and sparkle to your look.
Tarneit VIC 3029
0423 176 946","[""Beauty"", ""Jewellery"", ""Victoria""]"
